Fuvar{taxi_id=3673, idotartam=2400, indulas=2016-12-16 16:30:00, fizetes_modja=készpénz, tavolsag=10.0, viteldij=31.0, borravalo=0.0}
Fuvar{taxi_id=1257, idotartam=360, indulas=2016-12-03 18:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.0, borravalo=0.0}
Fuvar{taxi_id=2538, idotartam=540, indulas=2016-12-31 17:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=6.75, borravalo=0.0}
Fuvar{taxi_id=5856, idotartam=300, indulas=2016-12-29 18:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.25, borravalo=0.0}
Fuvar{taxi_id=7211, idotartam=1320, indulas=2016-12-12 22:30:00, fizetes_modja=készpénz, tavolsag=14.0, viteldij=36.0, borravalo=0.0}
Fuvar{taxi_id=6591, idotartam=480, indulas=2016-12-22 22:45:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=7.75, borravalo=0.0}
Fuvar{taxi_id=6514, idotartam=480, indulas=2016-12-30 11:00:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=7.5, borravalo=0.0}
Fuvar{taxi_id=2718, idotartam=1920, indulas=2016-12-19 10:15:00, fizetes_modja=készpénz, tavolsag=5.0, viteldij=18.75, borravalo=0.0}
Fuvar{taxi_id=4261, idotartam=780, indulas=2016-12-27 18:45:00, fizetes_modja=készpénz, tavolsag=4.0, viteldij=14.5, borravalo=0.0}
Fuvar{taxi_id=3449, idotartam=60, indulas=2016-12-02 17:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=3.25, borravalo=0.0}
Fuvar{taxi_id=2605, idotartam=480, indulas=2016-12-09 19:00:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=4.75, borravalo=0.0}
Fuvar{taxi_id=3514, idotartam=600, indulas=2016-12-09 09:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=10.75, borravalo=0.0}
Fuvar{taxi_id=1369, idotartam=2160, indulas=2016-12-20 15:15:00, fizetes_modja=készpénz, tavolsag=17.0, viteldij=43.5, borravalo=0.0}
Fuvar{taxi_id=5687, idotartam=900, indulas=2016-12-06 12:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=10.0, borravalo=0.0}
Fuvar{taxi_id=7578, idotartam=660, indulas=2016-12-30 22:15:00, fizetes_modja=készpénz, tavolsag=2.0, viteldij=9.75, borravalo=0.0}
Fuvar{taxi_id=2643, idotartam=180, indulas=2016-12-01 23:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=4.25, borravalo=0.0}
Fuvar{taxi_id=4359, idotartam=780, indulas=2016-12-13 19:00:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=7.5, borravalo=0.0}
